Start,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"14% HS, 16% Citric, 1200ppm CapB, 1.1% APG (17)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20x Dilution ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam Amount ,Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Jan,,21.75,medium bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,29-Jan,,17.5,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,31-Jan,,15,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 2.5% AOS, 1% CapB, 4% APG (AOS 108)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Jan,,30,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Jan,,25,medium bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,29-Jan,,21.75,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,31-Jan,,21.75,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 10% Citric, 2.5% AOS, 1% CapB, 4% APG (AOS 110)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Jan,,31.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Jan,,27.5,medium-large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,29-Jan,,16.75,medium-large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,31-Jan,,12.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 8% Citric, 2.5% AOS, 1% CapB, 4% APG (AOS 112)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Jan,,28.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Jan,,21.75,medium bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,29-Jan,,12.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,31-Jan,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 6% Citric, 2.5% AOS, 1% CapB, 4% APG (AOS 169)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Jan,,38.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Jan,,31.75,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,29-Jan,,15,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,31-Jan,,7.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 12% Citric, 2.5% AOS, 1% CapB, 4% APG (AOS 106)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Jan,,33.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Jan,,20,medium bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,29-Jan,,17.5,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,31-Jan,,15,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 10% Citric, 2.5% AOS, 1% CapB, 4% APG (AOS 110)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Jan,,31.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Jan,,27.5,medium-large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,29-Jan,,16.75,medium-large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,31-Jan,,12.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12% HS, 8% Citric, 2.5% AOS, 1% CapB, 4% APG (AOS 112)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Jan,,28.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Jan,,21.75,medium bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,29-Jan,,12.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,31-Jan,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 6% Citric, 2.5% AOS, 1% CapB, 4% APG (AOS 169)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Jan,,38.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Jan,,31.75,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,29-Jan,,15,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,31-Jan,,7.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 8% Citric, 2.5% AOS, 1% CapB, 4% APG (AOS 109)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Jan,,32.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Jan,,27.5,medium bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,29-Jan,,25,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,31-Jan,,22.5,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 6% Citric, 2.5% AOS, 1% CapB, 4% APG (AOS 168)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Jan,,32.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Jan,,25,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,29-Jan,,15,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,31-Jan,,7.5,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6% HS, 6% Citric, 2.5% AOS, 1% CapB, 4% APG (AOS 171) ",,,,Unstable RT,Unstable Concentrate,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Jan,,36.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Jan,,27.5,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6% HS, 8% Citric, 2.5% AOS, 1% CapB, 4% APG (AOS 170)",,,,Unstable RT,Unstable Concentrate,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,24-Jan,,30,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,27-Jan,,27.5,medium-large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 2% AOS, 0.9% CapB, 4.2% APG (AOS 159)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,29-Jan,,40,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,30-Jan,,39,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,31-Jan,,36.75,small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,03-Feb,,31.75,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,04-Feb,,30,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,05-Feb,,15,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 8,06-Feb,,15,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 9,07-Feb,,13.75,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 12,10-Feb,,7.5,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 2.2% AOS, 0.9% CapB, 4.2% APG (AOS 177)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Jan,,40,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,03-Feb,,35,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,04-Feb,,35,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,05-Feb,,32.5,medium bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,06-Feb,,23.75,medium-large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,07-Feb,,22.5,medium-large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 10,10-Feb,,20,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 11,11-Feb,,20,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 2% AOS, 0.9% CapB, 4.4% APG (AOS 178)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Jan,,40,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,03-Feb,,35,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,04-Feb,,32.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,05-Feb,,30,medium bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,06-Feb,,30,medium-large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,07-Feb,,28.75,medium-large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 10,10-Feb,,15,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 11,11-Feb,,12.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 2.2% AOS, 1% CapB, 4.4% APG (AOS 180)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,31-Jan,,35,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 3,03-Feb,,27.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 4,04-Feb,,27.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,05-Feb,,25,medium bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,06-Feb,,25,medium bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 7,07-Feb,,18.75,medium-large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 10,10-Feb,,16.75,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 11,11-Feb,,15,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 3.3% AOS, 4.4% APG, 1% CapB (AOS 164)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,05-Feb,,32.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,06-Feb,,30,small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,07-Feb,,27.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,10-Feb,,21.75,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 9,14-Feb,,17.5,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 3.3% AOS, 4.4% APG, 1% CapB (AOS 164)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,Frother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,05-Feb,,37.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,06-Feb,,32.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,07-Feb,,30,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,10-Feb,,17.5,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,11-Feb,,8.75,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 9,14-Feb,,5,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 10% Citric, 2% AOS, 7% APG, 0.9% CapB (AOS 192)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,05-Feb,,30,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,06-Feb,,27.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,07-Feb,,25,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,10-Feb,,20,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,11-Feb,,20,medium bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 9,14-Feb,,16.75,medium bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 3.3% AOS, 4.4% APG, 1.1% CapB (AOS 200)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,05-Feb,,33.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,06-Feb,,28.75,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,07-Feb,,27.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,10-Feb,,23.75,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,11-Feb,,22.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 9,14-Feb,,15,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7% HS, 10% Citric, 2% AOS, 8% APG, 0.9% CapB (AOS 193)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,05-Feb,,36.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,06-Feb,,32.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,07-Feb,,30,small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,10-Feb,,25,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,11-Feb,,15,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 9,14-Feb,,12.5,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 2.5% AOS, 5% APG, 1% CapB (AOS 186)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,05-Feb,,28.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,06-Feb,,26.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,07-Feb,,25,small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,10-Feb,,20,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,11-Feb,,17.5,medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 9,14-Feb,,15,medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9% HS, 10% Citric, 2.5% AOS, 7% APG, 1% CapB (AOS 206)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,05-Feb,,32.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,06-Feb,,27.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,07-Feb,,26.75,small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,10-Feb,,20,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,11-Feb,,20,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 9,14-Feb,,15,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9% HS, 12% Citric, 2% AOS, 6% APG, 1% CapB (AOS 203)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,05-Feb,,36.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,06-Feb,,32,small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,07-Feb,,28.75,small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,10-Feb,,27.5,medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,11-Feb,,22.5,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 9,14-Feb,,20,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"8% HS, 12% Citric, 0.6% AOS, 9% APG, 0.42% CapB (sac 49)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,10-Feb,,40,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,11-Feb,,36.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day3,13-Feb,,32.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day4,14-Feb,,31.75,small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 10,20-Feb,,25,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 2% AOS, 4.4% APG, 0.9% CapB (AOS 178)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,05-Feb,,30,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,06-Feb,,27.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,07-Feb,,26.75,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,10-Feb,,23.75,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,11-Feb,,22.5,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 9,14-Feb,,17.5,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9.5% HS, 12% Citric, 2% AOS, 6% APG, 1% CapB (AOS 204)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,05-Feb,,38.75,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,06-Feb,,32.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,07-Feb,,30,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,10-Feb,,20,medium bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,11-Feb,,20,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 9,14-Feb,,17.5,large bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"% HS, % Citric, % AOS, % APG, % CapB (Pilot AOS 108)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,05-Feb,,30,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,06-Feb,,30,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,07-Feb,,27.5,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,10-Feb,,20,medium bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,11-Feb,,17.5,medium bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 9,14-Feb,,15,medium bubbles ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10% HS, 10% Citric, 2% AOS, 4.2% APG, 0.9% CapB (AOS 159)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40x Dilution ,50mL tube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Foam (cc),Foam Texture ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 0 ,05-Feb,,30,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 1,06-Feb,,27.5,Small compact foam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 2,07-Feb,,25,Small bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 5,10-Feb,,21.75,small-medium bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 6,11-Feb,,20,medium-large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Day 9,14-Feb,,17.5,large bubbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
